"","Control","Altruism","Competition","Max Distance"
"485","Monire47c8","Honfavour","Slobodanchik",0
"486","SalLy zyoud","Moonmokgoro","Sarumakame",0
"487","Adil massil","Oni Idowu","Moos699",0
"488","Ganzart","Mosesmn24151","HICHAMELHASANY",0
"489","Joseph lea","Mosskillz","Romaric Abene",0
"490","Wagiita","Mostafa3rafa","Viny243",0
"491","Mostafaab","Zmc7","Cutecumber",0
"492","Abanda bride","Mostafa ali 96","Ftkayode",0
"493","Lesdewit","RahmatRaji","Mostafa rabi",0
"494","Leemwangi29","Mou3dh","Debs654",0
"495","Mouradwolf","GlynD","Fwesa",0
"496","Mronezed","Anne C Stewart","杜静",0
"497","Sg6232","Mr.willymario","Agoro Ameerah",0
"498","MSayagues","Hardymoha","Pastor Jimmy OO",0
"499","Aryani Gindeel","Pavel Urbanek","Mshothon",0
"500","Karsten-Werner","Tanja Lage","Msizwembuyazi",0
"501","Mudiare","Elumumba","Korirhilla",0
"502","Bayurzx","Selulala","Mugandaisaac",0
"503","Tedros tek","Eddiak","Mugisho beni",0
"504","KamalElabbadi","N.E.Kwame","Muhammadsalah80",0
"505","Mulako Juliet","JOHNSANARE","Raymond M",0
"506","KatBrink","Mikaelkayembe","Mummane",0
"507","Musali francis mazige","Nina tchornaia","Stherere23",0
"508","Mus B","Ocran.eb","Ikram hass",0
"509","Dean Erasmus","Amanfu89","Mustafa Shorbaji",0
"510","Ujanm","Mutange","Asrgindy",0
"511","Osuchukwu","Mwayi Chatsika","Pechristener",0
"512","Lytonnyangwi","Mwiza.simbeye","Adimabua",0
"513","Tinsaebelay","NabeelahY","EkowBK",0
"514","M-Rwimo","GAGAN P V","Nahusenai",0
"515","Christopher haslett","Najiibu1994","Faje Kashope",0
"516","Muchira ndegwa","Sahibbassey","NanaGyabeng gh",0
"517","Evemazadu","Nancy Okwong","Jackskon kandie",0
"518","Stevemugo","Abdellah Oubkou","Nath1931",0
"519","Fatouma Alaa","Nderitum","Andre.Ned",0
"520","Nduati.githae","Mutangeni","Chezec",0
"521","Kamila ould larbi","Hossametsh20","Nebiyu.s",0
"522","Ihab Mohammed","RajaKACEM","Neo Nthime",0
"523","Bigysf","Neptunian83","Joel chebii",0
"524","Newmaniv","Janna Mark Thumi","Shioriwat",0
"525","Rmanyiza","Twalib aladin","Neyocrux",0
"526","Tobynate","CLARK CHUCK","Nhb201",0
"527","Dashologist","Niamey00","M.yaakoubi",0
"528","Nicholasbas","Mancusok","Kiyeng",0
"529","Magoba.oscar","NickJulius","Zakilivo",0
"530","ClaudeMarie","Ahmedeltayeb1213","Nicopixel",0
"531","Nico Welman","Chinedu Anusi","Jennygomes",0
"532","Salimaina","Neobite","Nii okai addy",0
"533","Niyitegekabilly","Immortalsoul101","Olibanna",0
"534","Nkisarika","Guittimoussa","Mckodisang",0
"535","Nkvictor","Babzsz","Stoutseun",0
"536","Winter05","Nnarah Stanley","Raphaelgeorge0893",0
"537","NokShabangu","Sal Roux","Yemi Kacoutie",0
"538","Nonaimz","Emery rex","Kelvinpraises",0
"539","Mohmmed ayd","Noraeileen","Ukandiatsu",0
"540","Ntd1689","Precioux","Handzaround",0
"541","Nyakarahuka","Hommelbytjie04","Mchome",0
"542","Obiok","Alfred Ochen","SISSOKOMS",0
"543","Tawajoenz","Ogakratos","Muntigz",0
"544","Oguchukwu Prosper","Kweku Ayim","Okhaifo",0
"545","Ogundele ayorinde","Sedulitas","KambiloMusopelo",0
"546","Okane nyatoh daniel","Fawaz244","Asbazukassg",0
"547","Mary adeola scott","Polimanek","Okwama",0
"548","Olalere AbdulBasit","Bangz dk","Blo 005",0
"549","Garthvader3","Lolovishnya","Olams",0
"550","Moona2412","Nassiri1998","Olandojackie",0
"551","Haithem Elgasi","OliKha","Aggiebaggie",0
"552","Billrothmakem","Ahmed Hamdi El-Gheity","Olujeans",0
"553","Mistyeyed","Mulwaphilemon","OLUWAFEMI's",0
"554","Allan Wasike","Omar dand","Chie muchenjekwa",0
"555","Omobolarinre","Sala Nicolas","Gazzurelli",0
"556","Lucien Mugisha","OMOKOSHABAN","Tobilyn777",0
"557","Moh445","Ose antwi","Kiara Binta Nkuranga",0
"558","Forevertrees","Otormax","Ofeibea SA",0
"559","Oubaidallah","Samfourie","Kingjoshua Fulfilment",0
"560","Chris Jordan237","Pablusapelusa","A2bom",0
"561","Pascale Bireaud","Muhdeen","Fabilen",0
"562","IMSOUANE","باباه","PASKAL OTENO",0
"563","Saina.work","PatMo","Norms.miway",0
"564","Sammy Shipanga","Iremvazel","Pattytaljaard",0
"565","Kaakaa Egbe","Peace Eneja","SHAUFFER",0
"566","Kalondawachalo","KIMVUIDI NKOMBO Rudy","Peacefulprofessional",0
"567","Peacekeeper44","JMKIOHI","Djdito chibueze",0
"568","Peggit","Craftmen","Moumenmehdi",0
"569","Periye","Dewdrops123","Mone mahmoud",0
"570","Peteryuan66","Indhaqarash","Random Yeasha",0
"571","Phillip muema","Petroburger","Yulia Avdeeva",0
"572","Petrosgutema","Biva2017","Tissoufou",0
"573","Roy Kisielo Walimbwa","Bwanachai","Pius Talemwa",0
"574","Pmwambua","Mgalal20","Babalon246",0
"575","Fred Timbee","Kgopakj","PPSseremba",0
"576","Umaruyusuf","Pristurus","The Photographer",0
"577","Photosdhina","Prospero o6","Sissoev",0
"578","Psalmie50","Iamhezzmena","Hala Ahmed 472",0
"579","Putahjohn","Sosoliso59","Aepdesign",0
"580","Pyspic","Chinexladon","Bianca Lawrence53",0
"581","Quartermannoah","ClintAmerica","FischerFotos",0
"582","Samotim78","Igbanam","QueenNelwas",0
"583","Mranyim","Peterogillo","Quilodge",0
"584","Rachit.14","Watsonflakes","Hanninnha24",0
"585","Helena Hugo","Radiaouadie","MuthoniMwangi",0
"586","Elmansoor","Radokr","Mamdouhkamals",0
"587","Melifla","Eric Atie","Radwa Radwan",0
"588","ChrsZA","Ramikabe","Mawejje Geoffrey",0
"589","Tomtriffitt","Janouip1","Ramssey23",0
"590","Olasunkanmiariyo","Ramy Elzohairy","Fauza Gila",0
"591","RanaHafez","Fayva","Eliphaskhwawe",0
"592","Randybaah","Dwalsh3","Chaturuka",0
"593","SoufiyanSaaoudi","Raoul8","Malherberossouw",0
"594","Manuel Prince","Raskuada","David benito",0
"595","Miracle Charles","Hussain73","Ras Yebo",0
"596","M.CHRISTOPHER","Franzoni250","Rayankobz",0
"597","CDTakindele","Reagan kaihiva","Nitzan Arny",0
"598","عبد الله عساب","Mairabt","Refiloe776",0
"599","Ghada Muhammad Tohamy","RekkyTab","Moud449",0
"600","Hammedsanni78","Rémijean","Mariamhadji",0
"601","Brewsfab","Rempros","Byayadiya",0
"602","Rev. Jon Snow","Ibossow","Brendertogo",0
"603","RichieRR","Gabrieldoria","Bokangsepinare",0
"604","Richkayz","Gordonlgl","Williamsbank",0
"605","AKA Monkbrain","KIRUI951","Ricksher",0
"606","Fkturaki","Mugambi Muriuki","Rifoeblaise",0
"607","Talk2fome","Abwolter","Rikiee",0
"608","Dr.nokaro","AwuramaEva","Rita stirn",0
"609","Creative Ay","DaudiN","Riyegreat4199",0
"610","Rlangsten","Tefelo Ramollo","UjahT",0
"611","Izzobae","Chukwukah","Robbous",0
"612","Abasswealth","Alnyasulu","Robertmbau",0
"613","Rolexy.inc","Talleybethgale","AsandaMngadi",0
"614","Boréalle","Rouxnel","IGTaylor",0
"615","Menam Robinho","Rowanhafez","Mostafa okasha ph",0
"616","Mai4live","Afrznan","Ru.mahmoud",0
"617","OLUWATOBILOBA","William Amo","S802",0
"618","Saadou taleb bendiab","Maina Pat Mbae","Hoba offendum",0
"619","Mwaoch","Saa tota","Idoranni",0
"620","Sabastine charles","Ismailmss","Skippy the Giraffe",0
"621","S.abderhalden","Marcel.blankenstein","Karoline.Piegdon",0
"622","Blessed +254","Sagiomhza","Awadh abdul tz",0
"623","Oussama the shadow lord","Sahrpimbisorie","Endofstruggles",0
"624","SAID888","Peterkariukimutuura","Ahphotographytz",0
"625","Hamdouchi1","Saideljamali","Dsldesilva",0
"626","KingofNigeria","Saio Jawara","Camilla k",0
"627","Abdulmumin88","SajjAbuu","Lily Imani",0
"628","O. B. Michael","SamaitaKuda","Sawyl ma",0
"629","Sachi23","Sadsgsfssg","Samirmonir2016",0
"630","Topee539","Samiro17","Oluwaseyi Gbadebo",0
"631","Danfrancisco","Samson iron","Mohamed Haitam Salmouni",0
"632","Saniibrahim","Callixto","VictorMwaba",0
"633","Labe maxi","Sarah.Engin","Binyamin.kes",0
"634","Sarahsongen","Kesammio","ProtaJkz03",0
"635","Aziwa1991","Sarenda","HakeemFOX",0
"636","Bernard303","Sasu lydia","Miramgad",0
"637","S*c*hart","AyaS2017","Enochkp",0
"638","Gianlucazanini","Sefika Safari","LaurieLess",0
"639","Satyampgupta","Vector2017","Sekoranteng",0
"640","SolomonPhungwayo","Twamsen Danaan","Selimsony",0
"641","Kasonde mulenga","Jvrgail","Sen. Oscar",0
"642","MPIMPIMHENE","Sergei Andreichuk","Thatlowdownwoman",0
"643","Coleb100","Sesmail","Morongwa M",0
"644","Seybrah","Charlotte kendall","Deoluf",0
"645","Adeolu Paul","Shadooo","Akpeski",0
"646","Freddiemanzi","S.hakim","Lisabyrne86",0
"647","Le cogito","Shallangwa Bitrus","Leoork",0
"648","Gharbal","Sharawy24","Oyetokunbo",0
"649","Ax19th","RobinMathengeM","Shark studio",0
"650","Shekinyashi","Kela Khalifa","Nelson65105",0
"651","Shenoudart","Elisabeth.smeds","Lemazelalem3",0
"652","Shtywi","Shokoyokoto NG","Sibusiso Polite Ngubeni",0
"653","Hadizasani","Rnyakim","Shutabug",0
"654","Excelz","Tholang Tseka","SidCamelot",0
"655","SarahAnne","ANDRIAMANALINA Fidy Valisoa","Silas Sent K",0
"656","SSERUNJOGI EMMANUEL","Simply S'bu","Shahirc",0
"657","Maietti","SirmaCreative","Imadarabi",0
"658","Sisase","Sons.andrea","Shaik fayaz shannu",0
"659","Yveskoua","Marcoronnyprovenzi","Sitra Abubaker",0
"660","Mwanandama","SiveWiki","Fernanda.nossa",0
"661","Khyto","Gadiorvos","Skimel",0
"662","Slobodanka.sr","Nebiyatnbo","Thetravelbu9",0
"663","Goldmedal067","Smacharia","John oyelami",0
"664","Smbarki","Samapata","Michel.morin.jack",0
"665","Vermilions123123","Cupealhaji","Snapeice",0
"666","Snazzy I","Winner musole","Tjoenkie",0
"667","Soh Angala","Danny Shots","Elisazaza",0
"668","OULAHCENE SOFIANE","Greatfullshoot","Sojdogbe",0
"669","Lesley Porter","Drmichael88","SpringfieldFashionAcademy",0
"670","Genty0007","Stanley Kishani","Paulkenya",0
"671","Stanleyu","Devidyal","OwinoSang'iewa",0
"672","Davidredlich","Startup Kano","Jimrichard kagimu",0
"673","Livingtz12","Stefcray","Mnimmz",0
"674","Barispearl","Oscarmuli","Stephen mugo m",0
"675","Stevemtalii","MinneRebel","Waqas81 phc",0
"676","Steven.stewart","Zajdo1993","Francis Jakisa",0
"677","Steve Ogut Opiyo","K.CHRISTOPHE","Nemethdani93",0
"678","Tenisnaps","Gaasle","Stevolala1",0
"679","Stirol29","Mukhtarogunfuye","Umarsaje",0
"680","CandiceDavisZA","Soumaya sousou","Stitch Pics",0
"681","Jazulabdul","Geofreyeliudy","Stormterry",0
"682","Atidamilare","Stubop","Chinedum55",0
"683","AndrewFendrich","Hafsat12032001","Sugar Darego",0
"684","JustinOKelly96","Ahmeddddd sayeddddd","Superior rat",0
"685","Sushil Patel","Joe's Justin","Sustainable empowerment",0
"686","Nestorjava","Synjagu","Quitworkbaninja",0
"687","Taftaf 7fhl","Austinicon","Nawfalunni",0
"688","Devonmic","Emeka uzoukwu","Tali4fr",0
"689","FawziaAbdurRahman","Stevewallz","Tall brown boi",0
"690","Tavic1","MarionRotter","Samgitonga",0
"691","Tawfikian","TARIK ESNOW","Gdmanta",0
"692","FODEKKT","RikSchuiling","Tcthemc",0
"693","Bellydebul","Cliffog","Tebandeke Andrew",0
"694","Thaneus47","Emmanuel masetera","TaurusD",0
"695","Gibboyi","Mratip","Thangeni",0
"696","KOREDE","TheAdmasB","Chichriso",0
"697","Jean-Christian VEGLANO","Thebenjamins25","Abdosh92",0
"698","Mungaik","TheDabibi","Cell5Capture",0
"699","Ramatularai","Husseinkenya","The Marto guy",0
"700","Theo Chileshe Kangwa","Harvey Croze","Rwamucuucu",0
"701","Mrgaid143","Theonlywesleyyouknow","Brownlongokbulasio",0
"702","Jtabu35","Tiberius7","Alexandre.nhampossa",0
"703","TIENSAMA","Siphosamin","Melchisedek ABAKA",0
"704","Ebrahim Al-Hajj","Niambélé","Tijani Lukman",0
"705","Timah12","Dcyclone","Mikenautomobile",0
"706","Timah Nahshon","Hawiphotography","Carinswart",0
"707","Tim benchking","Karim slimani1","AITHEMOU",0
"708","Zenstar","Timeu","RogersK",0
"709","TinsRad","Yididya Efrem","Messiah ramathavha",0
"710","Jacqueline Njambi Kamau","Tiwilit","Harrison Chalila",0
"711","Sonofgrace","Rotimisonde","Tolanu",0
"712","Aloyce nyakunga","Tommyking751","Gegelagege",0
"713","GregoryJamesWatson","Chris K Udoh","Toon montage",0
"714","Tosin Tender","SeanPearce","Uns99",0
"715","Tosin Toromade","Jonahkigz","Akande Mayowa",0
"716","Toundea","Miora Andrialalaina Florlys","Tonyfourie",0
"717","Toyosi Onikosi","HamzaShabani","Thelastcelebrity",0
"718","Troy Audi Peter","Hichame belabda","Pieterester",0
"719","Pixelcrea.bejaia","Tsambah","Edwinseda",0
"720","Youth4agric","Hamirian","Tsinkala",0
"721","Mrdhe","Tunanukye gilbert","Kunlemessi",0
"722","LoesPluijm","Lilian Maina","Ubenkiff",0
"723","Wondimagagn","Carl Samuel","Ubwiza",0
"724","Aidah Uganda","AlexanderYirenkyi","Ulrichmboa",0
"725","Unathi 95","Abd El-Rahman S","Olamide reign",0
"726","Uzabiaga","Manu4ster","Deji Success",0
"727","Tapiya","Shadohwalker","VHSA",0
"728","Yaoxinxyz","Salma-tn","VilhoRoyal995",0
"729","Joli kiba","Walihoho","Michrissie",0
"730","Mustafamafad","WalterKipkogey","MercyAsiima",0
"731","HenrikTheFish","WalterRobert","Kibur Mengistu",0
"732","Kinyati","Wambui Njehu","Masako Kato",0
"733","Kairo Kimende","Wanderi Wachira","Singtoh",0
"734","Watanja","Shutterbugza","Hamza lomari",0
"735","Wezilem","Abdelmounim Maroc","Marcerric",0
"736","Hiphopsouthafrica","Whelal","Ahmed Essam El-Din.alex",0
"737","Anthony mbuthia","Muzeyi Yelyen","Wiesla",0
"738","Ivy Kimtai","Samuthemba","WillamKorff",0
"739","Wisdomzw","Michel lunanga","Ayobami94",0
"740","ISeeAfrica","Muhammedhulk","Woodwayne",0
"741","Wowitsmrinal","George Jaimi","Njata123",0
"742","Xiseven","Algerina","Janetjulis",0
"743","Shaddyclark","Yagoub d","Emmanuelmosaku",0
"744","Raynitrate","Yeudakn","Okwusman1",0
"745","Ykashion","Stoneimagez","Rextofiz",0
"746","EsayasA","Hajer bc","Yoktosecdynamics",0
"747","Blail","Tommilanso","Yonat945",0
"748","Yrm123","Pamilerinboy","FRANKKENYAN",0
"749","Louiscisco","Yubzeela","Prince Danduni",0
"750","JOAyodele","Drizzypal","Yusufvictor",0
"751","Deinsam","Moyosore100","YvonneGM",0
"752","Youness mohammed","Shalom Odugbemi","Zavuga",0
"753","Zi afli","SebastianWF","Protus wamukoya",0
"754","Baidan29","Kiplangot","Zumbaby",0
"755","Emanshokry","Freetown sl","Zwbrook",0
"756","Infoboxke","Zwivhuyag","Hermanus19",0
"757","Sammonty74","Boango545","Zyc64",0
"758","Adams Seth Peter","Elder-ak","احمد الشافعي الخطاط",0
"759","شيماء بحر","Amos Usulogbo","The Living love",0
"760","SammyKG","Abbieshee","PillowcaseSWD",0.03300584
"761","Kamrama","Ras67","Abdallahbigboy",0.03300584
"762","Adakanma","Chiamakalovelyn","Gntimba1",0.03300584
"763","Sofoneas A.","Ammy Geox","Fares rjeibi",0.03300584
"764","Aubry Arihona","Johnkekam","Bwabo",0.03300584
"765","Farajiibrahim","Sodiqtayo","Chrisiduma",0.03300584
"766","SAgbley","Jacquitoz","Geugeor",0.03300584
"767","وعد صابر","Hamset7oob","Muzungupeter",0.03300584
"768","Drewshotz","Tarekheikal","Hassene nostra",0.03300584
"769","Yellowcrunchy","Isaiah Maghanga","Tom Cat King",0.03300584
"770","Ibrahimpic","Mauryndinar","Islamamer4444",0.03300584
"771","Luenab","FlorlysMiora","Sibahle1993",0.03300584
"772","Metwallyphotos","Bella White","Drewura",0.03300584
"773","KokoDZ","Ademoye75","Mostafaart20",0.03300584
"774","Heba otefy","Kalechnizar","Ngumenawesamson",0.03300584
"775","Olusola David, Ayibiowu","Abdo fathi","ZSM",0.03300584
"776","Zeinebtakouti","Omar elhachmi","Eustusm10",0.03300584
"777","Afek91","The arabesk","Paulfreed",0.03300584
"778","Raoulgenius","Thukuk","Bentaylor13413",0.03300584
"779","Achodanick","Gtankam","Richardboadi",0.03300584
"780","Sherif capo","SEGUN123","Hesham Ebaid",0.03300584
"781","Sofiane mohammed amri","Vendeeelaaa","Mah3110",0.03300584
"782","Patrick976","A FREE KA SMILE 4 ALL","Wael.kenawey",0.03300584
"783","Yasield","Ji-Elle","Owula kpakpo",0.03300584
"784","FSouici","Youssefbidak","GrantHillebrand",0.03300584
"785","Deo photographer","Jelili.Oyetunde","Tchombem",0.06601168
"786","Happiraphael","Photokadaffi","African Hope",0.06601168
"787","Kctzch","Natnael Tadele","Shahadusadik",0.06601168
"788","VinoTinto","Ssozi karim","Rachelclarareed",0.06601168
"789","Peculiarsilas","Zatoka33","Datiharry",0.06601168
"790","Tsemaye Jemide","GottabeJay","ElyRodin",0.09901752
"791","Hn Khaoula","Youssefbensaad","BRAHIM DJELLOUL Mustapha",0.13202337
"792","EzekielFokam","Hady72","Iwad22",0.13202337
"793","Time00","Kidoudeni","Tibaweswa Stuart",0.13202337
"794","Leunajones","Emmanuel Dabo","Ryadh Gharbi",0.16502921
"795","Munu-Muti","Mahmoud SalahPh","Chibuezepaul",0.16502921
"796","Khaoula1991","Fahariya","Chukwukajustice",0.19803505
"797","Douglaseru","Joy Agyepong","Manouka",0.19803505
"798","Mompati Dikunwane","Motoyakala 1964","Mohamed Ouda",0.19803505
"799","Kriolog","Ahmed Emad H","Karama ben amor",0.23104089
"800","Alimdaihli","Amuzujoe","Salam Abiodun",0.23104089
"801","IssamBarhoumi","Celestinesucess","Nekisvincent",0.26404673
"802","PGskot","Orekoko","KelvinJM",0.26404673
"803","Teddykip","Mzungu Guy","Frederic PAPY",0.29705257
"804","Ivcom","Ngumenawe","Flixtey",0.36306426
"805","Rakoto kely","Julien saison","Loisa Kitakaya",0.3960701
"806","Enoma Sunday","Stechouse42","Malunde",0.46208178
"807","Metchyves","Mstephen247","Wildtunis",0.46208178
"808","Faiza affes","A7med3ssam9","Wael Mostafa",0.46208178
"809","Moumou82","Cheima fezzani","Rasheedhrasheed",0.69312267
"810","MKwadyo","Noomen9","Bachounda",0.92416356
"811","Bukulu Steven","TAKOUTI","Modjou",1.3532395
"812","Jamie Tubers","Mouahé","SteinsplitterBot",1.3532395
"813","Great11","AminouT","Boulati maya",2.706479
"814","Dominic A. Kyilleh","Aristidek5maya","Hnkamwa",5.01688791
"815","Serieminou","Aman ADO","Thesupermat",11.12508298
"816","Papischou",NA,"Embedded Data Bot",12.48022224
