"","Control","Altruism","Competition","Max Distance"
"58","Karbal aziz","El hakimy el arbi","Coalrosa",0
"59","Elsabe Pienaar","Marie miryam","Elle Emmanuel",0
"60","Kwame Acheampong","Berangerelacour","Emi chidi",0
"61","MonkeyM3000","Amrabdellatief","Emma4ph",0
"62","Papito Bozner","Jacquier-roux","Entomolo",0
"63","Wafwakoland","ERIC KOCHUMBA","Pepeangola",0
"64","Lazizy1","Archaeodontosaurus","Ericmontanah",0
"65","Vansinor","Eriquoh","Daviston2",0
"66","Soumaya boulati","Amit.0091","Excellyn",0
"67","Exclusive by Tola","Jana van Wyk","Dazageek",0
"68","Daniel Msirikale","Francesca augustin","Farida Othman",0
"69","FelipeRev","Ahmedtahrir","Rodrigo.Argenton",0
"70","Nanayaw x","Fidelisblue","Morgane75",0
"71","Kmwende","Firstchain","Travis gaudence",0
"72","Gab84","Waledash","First sportDamanhour",0
"73","Foxofr","Chafiliass","EDDAIFImohammed",0
"74","Fredmalack","Andualemeshetu","Nicetas Francis",0
"75","LizetteBuitendag","KarstenWerner","Gaellepatricia",0
"76","Jfoth","Mariahgreenstreet","Gastonitos",0
"77","Medyrache","Gêt Fenyan","Daveklual",0
"78","Phemina","Kane-wk","Gnaallawayo",0
"79","GreaterHappy","Dévilha Andriamihaja","Yousra755",0
"80","Karugadk","Gustavo yeremiah","Abnmh01",0
"81","Guyfah","Shaun sendyowa","Paul MARRON",0
"82","TheBillBandTheory","Serge Adam's","Hasmody76",0
"83","NanioKisai","Hassan panorama","Ritbak",0
"84","Alaouihaitam","LungaKama","Hillewikimedia",0
"85","Bikamag","Hoda Badawy","Mariopola",0
"86","Hoda Elhariri","Hiddenhauser","Olipiterdito olimpio",0
"87","Donadello","Houlan","Paulmoise",0
"88","Ahmed.aldahshoury","Dudu.ehis","Idahc",0
"89","Yotor","Hagargamal36","Ilyas mimou",0
"90","Rwanyange","Imenemellal","Rkisuze",0
"91","IRENE GAOUDA","Knotty ix","Adachidi12345",0
"92","JeanMicheletAnne","Janvier nico","Tokowetu",0
"93","Jean Pierre Viljoen","Kande80","Vanessa korie",0
"94","Factor boys","Mercy Kangsy","JiJi vevo",0
"95","Akashdeefa","Wistar92","Jnmchechu",0
"96","Achitate","Jobmukuria","Fouad3485",0
"97","Ijenigurl","Josephine le Gouvello","Carlo Gaudio",0
"98","Fifo2308","JosieDagger","Maxiemango",0
"99","Josué kanda","Anje cram kouassi","Colyns2012",0
"100","Usherreuben","Judriod","Louadfel",0
"101","Ibrahim ghonaim","Maytouna","Juvibro",0
"102","Kafuiday","Pitchoon76","Tatianadjuenie",0
"103","FlorianRenaux","Kamal jr","Nollysilver",0
"104","Bemmax","Mekem Zamboue Prosper","Kanda batakila",0
"105","PrintyKiss","AdamMuganwa","Karim.Mouffoki",0
"106","Kasiwired","Nipost,1","Akintop",0
"107","Biobele dg bob-manuel","Shopobatala","Kaybass",0
"108","Chris Caby","Keziah Kabutu","Mattjread",0
"109","Khalid2016","Amna1988","Colouriyo",0
"110","Françoise ENGOULOU","Koutchoro","Delimavs",0
"111","Laura266","Oyene benson","Mary Chuwa",0
"112","Kachilombo","Libby Offem-Oke","Marie Gaelle NGO NYEMECK",0
"113","Linda safta","Dejazzeez","Alex Floyd-Douglass",0
"114","Lotikiyya","Medium69","Bien2013",0
"115","Allanhao","Ludovic Hirlimann","Belac24",0
"116","Asubwa","Annadaou","Lutendo30",0
"117","Victoreke","Mady-khoullé","Mouha.ibs",0
"118","Irene Nafula","Mahevo Saima","JayTnii",0
"119","Malebye","NanaFiifi","Binkabir",0
"120","Nubian yahya","Malek elgazzar","Nan deko",0
"121","Mariaaa009","Malika ghotisse","Nasro benko",0
"122","SumuduDhanapala","Manasechiwaya","Iamablessing",0
"123","Kinini91","Marc Imhotep Cray, M.D.","Berekett",0
"124","Chocmilkza","MarcJP46","LukeKagose",0
"125","Marie-jo09","Aniekan101","Benmahjoub mohamed",0
"126","Lynnwacu","Markchercy","Princeo32",0
"127","Martgael","Wassimboulouk","Galkey",0
"128","MarwanAndrew","Camcam99","Happiness Stephen",0
"129","Rabiu Kofar Mata","Adamdubbe","Marygaied",0
"130","BronwenJane","Meryemaslima","Khalid hamdi",0
"131","Maximum avoidance","Emmanuel lobijo","Meryemoue",0
"132","Idilio.Lourenco","Mgoagoses","Bikijohn",0
"133","Joel.steingo","Michaelpaultz","Amqdof",0
"134","MLFDN","Hind996","Mohamed kenoussi",0
"135","Noha Fawzy Elsayed","Menai med selim","Mngenag",0
"136","Shelhashem","Morinzel","Shazzy shax",0
"137","Ogalaemmanuel","Mrchinonso","Auto Blaze",0
"138","Asg nana","Victor Abedi","Mr.Evans Madugba",0
"139","JoanesC","Mubeen Haroun","Egbedi",0
"140","Mwangi mungai","Boufradji Amina","Sigital",0
"141","OlivierXav","Yelo Dizzy","Neec imagery",0
"142","Ducattony","Nekoye","David Tamsey",0
"143","Skymaya","Nassima15","Ngom JG",0
"144","Ngoua jean marcel","Chouchmitta","Oneinaquatrillion",0
"145","Nikonambassug","Kyme Bevass","Iris Santos Design 2011",0
"146","MarionLavabre","Eid John","Njomgnam05",0
"147","Noblesoul64","Youssefdb18","Idmonde",0
"148","Snapoutphoto","NontobekoMakhukhula","Handaculture",0
"149","NTAKIRUTIMANA Assoumani","Tlaite OUBADDI","Silvester.lubwama",0
"150","Caroleina","Al K. Bou","Ohaniceyt",0
"151","Olajoku","Ktserema","Houssem.dafdouf",0
"152","Olivier mupenzi","Solomon.igori","Dagiml",0
"153","OnduuLorna","Ninconquer","YACOUBOU faysal",0
"154","Alto vicky","Ahiaticourage","Osia",0
"155","Pajoe mix","Kone seyan","Docfred84",0
"156","PapaMulinge","Anasshassouni","Mesi Argaw",0
"157","Ehsassat","Patcojazz","Mohamed laassiri",0
"158","Patriciaassi","Olowosimon","Lhaj.Midoo",0
"159","Ehlizam","Patrick Atonji","Wonanita",0
"160","Pedro TL Francisco","Ando tag","Shividou",0
"161","PEGGYESSAME","Rachid annoub","Kadra2016",0
"162","Aziz.ait.banti","Périscolaire974","Abir tb",0
"163","Pitix","Chisness","Jibofoto",0
"164","Leah Mugwagwa","Bettycath","Prasadkrishnapn",0
"165","Yoka30","Prateek monro","Cleosexyb",0
"166","Psychoslave","Aureliedu22","Zediajaab",0
"167","Rakirs","R7oba.rere","Yohannes Wondirad",0
"168","Radim Z","Ymnes","Mariememissiaen",0
"169","ReelikaLo","Dedry deo gracias","Sharpaxe1055",0
"170","Ettaifour","Khadija mwambungu","RenetteLouwLouw",0
"171","Yann karl","Rifoebla","Wenliufour",0
"172","Dusenge1","Ristiezze","Alexander quaye",0
"173","Akan1","Spauladah","Robertjohanbakker",0
"174","Nkunda250","Stanley amaechi chizaram","Sahli Najla",0
"175","Hamitu5","SAID ISCO","Christian verboom",0
"176","Karem ph","Saidnait","Lollyday",0
"177","Salwa2015","Oubraaahim","Vitalis Barosse",0
"178","Un tizio discreto","Sambapm","Didi karindi",0
"179","Sophie Graubert","Habboub1988","Sami Mlouhi",0
"180","Samwan31","Taona Makunika","Emloren",0
"181","Penny worth 01","PrinceMuraguri","Sarah gribi",0
"182","Bonikul","Chuka Okolo","Saramahrous",0
"183","Tarig Elobeid","Incnis Mrsi","Secondarywaltz",0
"184","Looremeta92","Khadija Haji","Sejir",0
"185","Ishmael Muchena","SimplyG1dd0","Nacera neda",0
"186","Oyeronke","Dunncan10","Siraf 2",0
"187","Alidavid1986","Pagnebaoule","Smart villager",0
"188","MataHali","Teresalubano","Snakale",0
"189","Stockhlm","Ravykyran","Patrick KALUTA",0
"190","Taban Phillip","Alex kateregga","SUPREME LACE",0
"191","Tanaka57","Victor1716","Supertangeni",0
"192","Mohcinemar","Ghachi Ishaq","Tcshizz",0
"193","NdoyeMarie","Tibo IXI obiT","Edgarlime",0
"194","Ttz91","Cestmoicarisse","Stekary",0
"195","Cristabella2","Bilal elaasri","Vickileigh1981",0
"196","Djipsy5","Vincetsr","Tsidoti",0
"197","Virgile Zeimet","Félix Kouamé","KiliKarsten",0
"198","Wanjikuthekenyangirl","Unphares","BLESSING LA FEMME DE BENEDICTION",0
"199","Wanjirakinyua","Don Willskey","Alexlovesafrica",0
"200","Hellomoh","Wyckie","Kiriiah",0
"201","Rani K.Ben","ChileeAgunanna","XCCGROUP",0
"202","Sarahakeogh","YASSINE OUMACHRA","Mariemirou",0
"203","Jimmyking1","Zaki.chicho","Youssoufdj",0
"204","Zuraj studio","Olaniyan Olushola","1000 thoughts",0
"205","Nanyaa","Aimty2015","Amethyst81",0.03300584
"206","Eguanakla","Imanearagon","Samia Dib Benkaci",0.03300584
"207","Damoon4all","Kevoyugi","El Golli Mohamed",0.03300584
"208","JY midey","Kaltoum poumie","Odile RAPEAU",0.03300584
"209","Olinga Messanga","Toto wrap","Laurakomanga",0.03300584
"210","Zakaria Rabia","Simivic","Makangarajustin",0.03300584
"211","Lourdeschr","Tobbytex007","ChefDuVillage",0.06601168
"212","Gdaleu","Amytou","OBERSON",0.06601168
"213","Mauryn nakiyimba","Ercé","Selengoumadavid",0.09901752
"214","Virginieortis","SuaveKevinKariuki","Teemages",0.09901752
"215","Chima222","Matthias.faure.27","Yaleyla",0.09901752
"216","Ewinosa","Aliya anna","Khamagama",0.13202337
"217","Laryap","Oumounyvine","Laetirenew",0.13202337
"218","Emnamizouni","Flouer","Kateregga1",0.72612851
"219","Vivaystn","ABir27","Eltia Aimée",0.85815188
"220","Stralitzia","Vinod Narbar","Maryam Mgonja",1.78231544
"221","Kwameghana","Michaelphoya",NA,7.26765441
"222","Selly Awuor","Nkansahrexford","ولاء",8.0415381
